timestamp,service,total,2xx,4xx,5xx,resets,rq_time_sum_ms,rq_time_count,rq_time_buckets
2026-09-22T07:52:48Z,productcatalogservice,0,0,0,0,0,0,0,"{""0.5"":0,""1"":0,""5"":0,""10"":0,""25"":0,""50"":0,""100"":0,""250"":0,""500"":0,""1000"":0,""2500"":0,""5000"":0,""10000"":0,""30000"":0,""60000"":0,""300000"":0,""600000"":0,""1800000"":0,""3600000"":0,""+Inf"":0}"
2026-09-22T07:52:48Z,recommendationservice,2107673,1622972,0,0,484739,348079508,1622972,"{""0.5"":567,""1"":567,""5"":104995,""10"":198422,""25"":372169,""50"":579207,""100"":808119,""250"":1018487,""500"":1139540,""1000"":1622972,""2500"":1622972,""5000"":1622972,""10000"":1622972,""30000"":1622972,""60000"":1622972,""300000"":1622972,""600000"":1622972,""1800000"":1622972,""3600000"":1622972,""+Inf"":1622972}"
2026-09-22T07:52:48Z,redis-cart,0,0,0,0,0,0,0,
2026-09-22T07:52:48Z,shippingservice,242185,238725,0,0,3475,538201,238725,"{""0.5"":44170,""1"":44170,""5"":208246,""10"":233958,""25"":238475,""50"":238676,""100"":238696,""250"":238710,""500"":238716,""1000"":238725,""2500"":238725,""5000"":238725,""10000"":238725,""30000"":238725,""60000"":238725,""300000"":238725,""600000"":238725,""1800000"":238725,""3600000"":238725,""+Inf"":238725}"
2026-09-22T07:52:49Z,adservice,257414,256459,0,0,971,924869,256459,"{""0.5"":3616,""1"":3616,""5"":192334,""10"":240817,""25"":256122,""50"":256391,""100"":256454,""250"":256459,""500"":256459,""1000"":256459,""2500"":256459,""5000"":256459,""10000"":256459,""30000"":256459,""60000"":256459,""300000"":256459,""600000"":256459,""1800000"":256459,""3600000"":256459,""+Inf"":256459}"
2026-09-22T07:52:49Z,cartservice,959501,955816,0,0,3776,4398645,955816,"{""0.5"":17,""1"":17,""5"":666042,""10"":861358,""25"":946992,""50"":955055,""100"":955585,""250"":955658,""500"":955730,""1000"":955816,""2500"":955816,""5000"":955816,""10000"":955816,""30000"":955816,""60000"":955816,""300000"":955816,""600000"":955816,""1800000"":955816,""3600000"":955816,""+Inf"":955816}"
2026-09-22T07:52:49Z,checkoutservice,61258,38737,0,0,22522,9377134,38737,"{""0.5"":255,""1"":255,""5"":802,""10"":950,""25"":11741,""50"":15164,""100"":19376,""250"":21632,""500"":22317,""1000"":38737,""2500"":38737,""5000"":38737,""10000"":38737,""30000"":38737,""60000"":38737,""300000"":38737,""600000"":38737,""1800000"":38737,""3600000"":38737,""+Inf"":38737}"
2026-09-22T07:52:49Z,currencyservice,1559516,1559495,0,0,87,17081352,1559494,"{""0.5"":14524,""1"":14524,""5"":711079,""10"":1022290,""25"":1395642,""50"":1516677,""100"":1552105,""250"":1558702,""500"":1559429,""1000"":1559494,""2500"":1559494,""5000"":1559494,""10000"":1559494,""30000"":1559494,""60000"":1559494,""300000"":1559494,""600000"":1559494,""1800000"":1559494,""3600000"":1559494,""+Inf"":1559494}"
2026-09-22T07:52:49Z,emailservice,13696,13692,0,0,4,73710,13692,"{""0.5"":0,""1"":0,""5"":12238,""10"":13089,""25"":13168,""50"":13225,""100"":13653,""250"":13692,""500"":13692,""1000"":13692,""2500"":13692,""5000"":13692,""10000"":13692,""30000"":13692,""60000"":13692,""300000"":13692,""600000"":13692,""1800000"":13692,""3600000"":13692,""+Inf"":13692}"
2026-09-22T07:52:49Z,frontend,0,0,0,0,0,0,0,"{""0.5"":0,""1"":0,""5"":0,""10"":0,""25"":0,""50"":0,""100"":0,""250"":0,""500"":0,""1000"":0,""2500"":0,""5000"":0,""10000"":0,""30000"":0,""60000"":0,""300000"":0,""600000"":0,""1800000"":0,""3600000"":0,""+Inf"":0}"
2026-09-22T07:52:49Z,paymentservice,3448,3335,0,0,119,18577,3329,"{""0.5"":0,""1"":0,""5"":2796,""10"":3194,""25"":3238,""50"":3240,""100"":3303,""250"":3329,""500"":3329,""1000"":3329,""2500"":3329,""5000"":3329,""10000"":3329,""30000"":3329,""60000"":3329,""300000"":3329,""600000"":3329,""1800000"":3329,""3600000"":3329,""+Inf"":3329}"
2026-09-22T07:52:49Z,productcatalogservice,0,0,0,0,0,0,0,"{""0.5"":0,""1"":0,""5"":0,""10"":0,""25"":0,""50"":0,""100"":0,""250"":0,""500"":0,""1000"":0,""2500"":0,""5000"":0,""10000"":0,""30000"":0,""60000"":0,""300000"":0,""600000"":0,""1800000"":0,""3600000"":0,""+Inf"":0}"
2026-09-22T07:52:49Z,recommendationservice,2107673,1622972,0,0,484739,348079508,1622972,"{""0.5"":567,""1"":567,""5"":104995,""10"":198422,""25"":372169,""50"":579207,""100"":808119,""250"":1018487,""500"":1139540,""1000"":1622972,""2500"":1622972,""5000"":1622972,""10000"":1622972,""30000"":1622972,""60000"":1622972,""300000"":1622972,""600000"":1622972,""1800000"":1622972,""3600000"":1622972,""+Inf"":1622972}"
2026-09-22T07:52:49Z,redis-cart,0,0,0,0,0,0,0,
2026-09-22T07:52:49Z,shippingservice,242185,238725,0,0,3475,538201,238725,"{""0.5"":44170,""1"":44170,""5"":208246,""10"":233958,""25"":238475,""50"":238676,""100"":238696,""250"":238710,""500"":238716,""1000"":238725,""2500"":238725,""5000"":238725,""10000"":238725,""30000"":238725,""60000"":238725,""300000"":238725,""600000"":238725,""1800000"":238725,""3600000"":238725,""+Inf"":238725}"
2026-09-22T07:52:50Z,adservice,257414,256459,0,0,971,924869,256459,"{""0.5"":3616,""1"":3616,""5"":192334,""10"":240817,""25"":256122,""50"":256391,""100"":256454,""250"":256459,""500"":256459,""1000"":256459,""2500"":256459,""5000"":256459,""10000"":256459,""30000"":256459,""60000"":256459,""300000"":256459,""600000"":256459,""1800000"":256459,""3600000"":256459,""+Inf"":256459}"
2026-09-22T07:52:50Z,cartservice,959501,955816,0,0,3776,4398645,955816,"{""0.5"":17,""1"":17,""5"":666042,""10"":861358,""25"":946992,""50"":955055,""100"":955585,""250"":955658,""500"":955730,""1000"":955816,""2500"":955816,""5000"":955816,""10000"":955816,""30000"":955816,""60000"":955816,""300000"":955816,""600000"":955816,""1800000"":955816,""3600000"":955816,""+Inf"":955816}"
2026-09-22T07:52:50Z,checkoutservice,61258,38737,0,0,22522,9377134,38737,"{""0.5"":255,""1"":255,""5"":802,""10"":950,""25"":11741,""50"":15164,""100"":19376,""250"":21632,""500"":22317,""1000"":38737,""2500"":38737,""5000"":38737,""10000"":38737,""30000"":38737,""60000"":38737,""300000"":38737,""600000"":38737,""1800000"":38737,""3600000"":38737,""+Inf"":38737}"
2026-09-22T07:52:50Z,currencyservice,1559516,1559495,0,0,87,17081352,1559494,"{""0.5"":14524,""1"":14524,""5"":711079,""10"":1022290,""25"":1395642,""50"":1516677,""100"":1552105,""250"":1558702,""500"":1559429,""1000"":1559494,""2500"":1559494,""5000"":1559494,""10000"":1559494,""30000"":1559494,""60000"":1559494,""300000"":1559494,""600000"":1559494,""1800000"":1559494,""3600000"":1559494,""+Inf"":1559494}"
2026-09-22T07:52:50Z,emailservice,13696,13692,0,0,4,73710,13692,"{""0.5"":0,""1"":0,""5"":12238,""10"":13089,""25"":13168,""50"":13225,""100"":13653,""250"":13692,""500"":13692,""1000"":13692,""2500"":13692,""5000"":13692,""10000"":13692,""30000"":13692,""60000"":13692,""300000"":13692,""600000"":13692,""1800000"":13692,""3600000"":13692,""+Inf"":13692}"
2026-09-22T07:52:50Z,frontend,0,0,0,0,0,0,0,"{""0.5"":0,""1"":0,""5"":0,""10"":0,""25"":0,""50"":0,""100"":0,""250"":0,""500"":0,""1000"":0,""2500"":0,""5000"":0,""10000"":0,""30000"":0,""60000"":0,""300000"":0,""600000"":0,""1800000"":0,""3600000"":0,""+Inf"":0}"
2026-09-22T07:52:50Z,paymentservice,3448,3335,0,0,119,18577,3329,"{""0.5"":0,""1"":0,""5"":2796,""10"":3194,""25"":3238,""50"":3240,""100"":3303,""250"":3329,""500"":3329,""1000"":3329,""2500"":3329,""5000"":3329,""10000"":3329,""30000"":3329,""60000"":3329,""300000"":3329,""600000"":3329,""1800000"":3329,""3600000"":3329,""+Inf"":3329}"
2026-09-22T07:52:50Z,productcatalogservice,0,0,0,0,0,0,0,"{""0.5"":0,""1"":0,""5"":0,""10"":0,""25"":0,""50"":0,""100"":0,""250"":0,""500"":0,""1000"":0,""2500"":0,""5000"":0,""10000"":0,""30000"":0,""60000"":0,""300000"":0,""600000"":0,""1800000"":0,""3600000"":0,""+Inf"":0}"
2026-09-22T07:52:50Z,recommendationservice,2107673,1622972,0,0,484739,348079508,1622972,"{""0.5"":567,""1"":567,""5"":104995,""10"":198422,""25"":372169,""50"":579207,""100"":808119,""250"":1018487,""500"":1139540,""1000"":1622972,""2500"":1622972,""5000"":1622972,""10000"":1622972,""30000"":1622972,""60000"":1622972,""300000"":1622972,""600000"":1622972,""1800000"":1622972,""3600000"":1622972,""+Inf"":1622972}"
2026-09-22T07:52:50Z,redis-cart,0,0,0,0,0,0,0,
2026-09-22T07:52:50Z,shippingservice,242185,238725,0,0,3475,538201,238725,"{""0.5"":44170,""1"":44170,""5"":208246,""10"":233958,""25"":238475,""50"":238676,""100"":238696,""250"":238710,""500"":238716,""1000"":238725,""2500"":238725,""5000"":238725,""10000"":238725,""30000"":238725,""60000"":238725,""300000"":238725,""600000"":238725,""1800000"":238725,""3600000"":238725,""+Inf"":238725}"
2026-09-22T07:52:51Z,adservice,257414,256459,0,0,971,924869,256459,"{""0.5"":3616,""1"":3616,""5"":192334,""10"":240817,""25"":256122,""50"":256391,""100"":256454,""250"":256459,""500"":256459,""1000"":256459,""2500"":256459,""5000"":256459,""10000"":256459,""30000"":256459,""60000"":256459,""300000"":256459,""600000"":256459,""1800000"":256459,""3600000"":256459,""+Inf"":256459}"
2026-09-22T07:52:51Z,cartservice,959501,955816,0,0,3776,4398645,955816,"{""0.5"":17,""1"":17,""5"":666042,""10"":861358,""25"":946992,""50"":955055,""100"":955585,""250"":955658,""500"":955730,""1000"":955816,""2500"":955816,""5000"":955816,""10000"":955816,""30000"":955816,""60000"":955816,""300000"":955816,""600000"":955816,""1800000"":955816,""3600000"":955816,""+Inf"":955816}"
2026-09-22T07:52:51Z,checkoutservice,61258,38737,0,0,22522,9377134,38737,"{""0.5"":255,""1"":255,""5"":802,""10"":950,""25"":11741,""50"":15164,""100"":19376,""250"":21632,""500"":22317,""1000"":38737,""2500"":38737,""5000"":38737,""10000"":38737,""30000"":38737,""60000"":38737,""300000"":38737,""600000"":38737,""1800000"":38737,""3600000"":38737,""+Inf"":38737}"
2026-09-22T07:52:51Z,currencyservice,1559516,1559495,0,0,87,17081352,1559494,"{""0.5"":14524,""1"":14524,""5"":711079,""10"":1022290,""25"":1395642,""50"":1516677,""100"":1552105,""250"":1558702,""500"":1559429,""1000"":1559494,""2500"":1559494,""5000"":1559494,""10000"":1559494,""30000"":1559494,""60000"":1559494,""300000"":1559494,""600000"":1559494,""1800000"":1559494,""3600000"":1559494,""+Inf"":1559494}"
2026-09-22T07:52:51Z,emailservice,13696,13692,0,0,4,73710,13692,"{""0.5"":0,""1"":0,""5"":12238,""10"":13089,""25"":13168,""50"":13225,""100"":13653,""250"":13692,""500"":13692,""1000"":13692,""2500"":13692,""5000"":13692,""10000"":13692,""30000"":13692,""60000"":13692,""300000"":13692,""600000"":13692,""1800000"":13692,""3600000"":13692,""+Inf"":13692}"
2026-09-22T07:52:51Z,frontend,0,0,0,0,0,0,0,"{""0.5"":0,""1"":0,""5"":0,""10"":0,""25"":0,""50"":0,""100"":0,""250"":0,""500"":0,""1000"":0,""2500"":0,""5000"":0,""10000"":0,""30000"":0,""60000"":0,""300000"":0,""600000"":0,""1800000"":0,""3600000"":0,""+Inf"":0}"
2026-09-22T07:52:51Z,paymentservice,3448,3335,0,0,119,18577,3329,"{""0.5"":0,""1"":0,""5"":2796,""10"":3194,""25"":3238,""50"":3240,""100"":3303,""250"":3329,""500"":3329,""1000"":3329,""2500"":3329,""5000"":3329,""10000"":3329,""30000"":3329,""60000"":3329,""300000"":3329,""600000"":3329,""1800000"":3329,""3600000"":3329,""+Inf"":3329}"
2026-09-22T07:52:51Z,productcatalogservice,0,0,0,0,0,0,0,"{""0.5"":0,""1"":0,""5"":0,""10"":0,""25"":0,""50"":0,""100"":0,""250"":0,""500"":0,""1000"":0,""2500"":0,""5000"":0,""10000"":0,""30000"":0,""60000"":0,""300000"":0,""600000"":0,""1800000"":0,""3600000"":0,""+Inf"":0}"
2026-09-22T07:52:51Z,recommendationservice,2107673,1622972,0,0,484739,348079508,1622972,"{""0.5"":567,""1"":567,""5"":104995,""10"":198422,""25"":372169,""50"":579207,""100"":808119,""250"":1018487,""500"":1139540,""1000"":1622972,""2500"":1622972,""5000"":1622972,""10000"":1622972,""30000"":1622972,""60000"":1622972,""300000"":1622972,""600000"":1622972,""1800000"":1622972,""3600000"":1622972,""+Inf"":1622972}"
2026-09-22T07:52:51Z,redis-cart,0,0,0,0,0,0,0,
2026-09-22T07:52:51Z,shippingservice,242185,238725,0,0,3475,538201,238725,"{""0.5"":44170,""1"":44170,""5"":208246,""10"":233958,""25"":238475,""50"":238676,""100"":238696,""250"":238710,""500"":238716,""1000"":238725,""2500"":238725,""5000"":238725,""10000"":238725,""30000"":238725,""60000"":238725,""300000"":238725,""600000"":238725,""1800000"":238725,""3600000"":238725,""+Inf"":238725}"
2026-09-22T07:52:52Z,adservice,257414,256459,0,0,971,924869,256459,"{""0.5"":3616,""1"":3616,""5"":192334,""10"":240817,""25"":256122,""50"":256391,""100"":256454,""250"":256459,""500"":256459,""1000"":256459,""2500"":256459,""5000"":256459,""10000"":256459,""30000"":256459,""60000"":256459,""300000"":256459,""600000"":256459,""1800000"":256459,""3600000"":256459,""+Inf"":256459}"
2026-09-22T07:52:52Z,cartservice,959501,955816,0,0,3776,4398645,955816,"{""0.5"":17,""1"":17,""5"":666042,""10"":861358,""25"":946992,""50"":955055,""100"":955585,""250"":955658,""500"":955730,""1000"":955816,""2500"":955816,""5000"":955816,""10000"":955816,""30000"":955816,""60000"":955816,""300000"":955816,""600000"":955816,""1800000"":955816,""3600000"":955816,""+Inf"":955816}"
2026-09-22T07:52:52Z,checkoutservice,61258,38737,0,0,22522,9377134,38737,"{""0.5"":255,""1"":255,""5"":802,""10"":950,""25"":11741,""50"":15164,""100"":19376,""250"":21632,""500"":22317,""1000"":38737,""2500"":38737,""5000"":38737,""10000"":38737,""30000"":38737,""60000"":38737,""300000"":38737,""600000"":38737,""1800000"":38737,""3600000"":38737,""+Inf"":38737}"
2026-09-22T07:52:52Z,currencyservice,1559516,1559495,0,0,87,17081352,1559494,"{""0.5"":14524,""1"":14524,""5"":711079,""10"":1022290,""25"":1395642,""50"":1516677,""100"":1552105,""250"":1558702,""500"":1559429,""1000"":1559494,""2500"":1559494,""5000"":1559494,""10000"":1559494,""30000"":1559494,""60000"":1559494,""300000"":1559494,""600000"":1559494,""1800000"":1559494,""3600000"":1559494,""+Inf"":1559494}"
2026-09-22T07:52:52Z,emailservice,13696,13692,0,0,4,73710,13692,"{""0.5"":0,""1"":0,""5"":12238,""10"":13089,""25"":13168,""50"":13225,""100"":13653,""250"":13692,""500"":13692,""1000"":13692,""2500"":13692,""5000"":13692,""10000"":13692,""30000"":13692,""60000"":13692,""300000"":13692,""600000"":13692,""1800000"":13692,""3600000"":13692,""+Inf"":13692}"
2026-09-22T07:52:52Z,frontend,0,0,0,0,0,0,0,"{""0.5"":0,""1"":0,""5"":0,""10"":0,""25"":0,""50"":0,""100"":0,""250"":0,""500"":0,""1000"":0,""2500"":0,""5000"":0,""10000"":0,""30000"":0,""60000"":0,""300000"":0,""600000"":0,""1800000"":0,""3600000"":0,""+Inf"":0}"
2026-09-22T07:52:52Z,paymentservice,3448,3335,0,0,119,18577,3329,"{""0.5"":0,""1"":0,""5"":2796,""10"":3194,""25"":3238,""50"":3240,""100"":3303,""250"":3329,""500"":3329,""1000"":3329,""2500"":3329,""5000"":3329,""10000"":3329,""30000"":3329,""60000"":3329,""300000"":3329,""600000"":3329,""1800000"":3329,""3600000"":3329,""+Inf"":3329}"
2026-09-22T07:52:52Z,productcatalogservice,0,0,0,0,0,0,0,"{""0.5"":0,""1"":0,""5"":0,""10"":0,""25"":0,""50"":0,""100"":0,""250"":0,""500"":0,""1000"":0,""2500"":0,""5000"":0,""10000"":0,""30000"":0,""60000"":0,""300000"":0,""600000"":0,""1800000"":0,""3600000"":0,""+Inf"":0}"
2026-09-22T07:52:52Z,recommendationservice,2107673,1622972,0,0,484739,348079508,1622972,"{""0.5"":567,""1"":567,""5"":104995,""10"":198422,""25"":372169,""50"":579207,""100"":808119,""250"":1018487,""500"":1139540,""1000"":1622972,""2500"":1622972,""5000"":1622972,""10000"":1622972,""30000"":1622972,""60000"":1622972,""300000"":1622972,""600000"":1622972,""1800000"":1622972,""3600000"":1622972,""+Inf"":1622972}"
2026-09-22T07:52:52Z,redis-cart,0,0,0,0,0,0,0,
2026-09-22T07:52:52Z,shippingservice,242185,238725,0,0,3475,538201,238725,"{""0.5"":44170,""1"":44170,""5"":208246,""10"":233958,""25"":238475,""50"":238676,""100"":238696,""250"":238710,""500"":238716,""1000"":238725,""2500"":238725,""5000"":238725,""10000"":238725,""30000"":238725,""60000"":238725,""300000"":238725,""600000"":238725,""1800000"":238725,""3600000"":238725,""+Inf"":238725}"
2026-09-22T07:52:53Z,adservice,257414,256459,0,0,971,924869,256459,"{""0.5"":3616,""1"":3616,""5"":192334,""10"":240817,""25"":256122,""50"":256391,""100"":256454,""250"":256459,""500"":256459,""1000"":256459,""2500"":256459,""5000"":256459,""10000"":256459,""30000"":256459,""60000"":256459,""300000"":256459,""600000"":256459,""1800000"":256459,""3600000"":256459,""+Inf"":256459}"
2026-09-22T07:52:53Z,cartservice,959501,955816,0,0,3776,4398645,955816,"{""0.5"":17,""1"":17,""5"":666042,""10"":861358,""25"":946992,""50"":955055,""100"":955585,""250"":955658,""500"":955730,""1000"":955816,""2500"":955816,""5000"":955816,""10000"":955816,""30000"":955816,""60000"":955816,""300000"":955816,""600000"":955816,""1800000"":955816,""3600000"":955816,""+Inf"":955816}"
2026-09-22T07:52:53Z,checkoutservice,61258,38737,0,0,22522,9377134,38737,"{""0.5"":255,""1"":255,""5"":802,""10"":950,""25"":11741,""50"":15164,""100"":19376,""250"":21632,""500"":22317,""1000"":38737,""2500"":38737,""5000"":38737,""10000"":38737,""30000"":38737,""60000"":38737,""300000"":38737,""600000"":38737,""1800000"":38737,""3600000"":38737,""+Inf"":38737}"
2026-09-22T07:52:53Z,currencyservice,1559516,1559495,0,0,87,17081352,1559494,"{""0.5"":14524,""1"":14524,""5"":711079,""10"":1022290,""25"":1395642,""50"":1516677,""100"":1552105,""250"":1558702,""500"":1559429,""1000"":1559494,""2500"":1559494,""5000"":1559494,""10000"":1559494,""30000"":1559494,""60000"":1559494,""300000"":1559494,""600000"":1559494,""1800000"":1559494,""3600000"":1559494,""+Inf"":1559494}"
2026-09-22T07:52:53Z,emailservice,13696,13692,0,0,4,73710,13692,"{""0.5"":0,""1"":0,""5"":12238,""10"":13089,""25"":13168,""50"":13225,""100"":13653,""250"":13692,""500"":13692,""1000"":13692,""2500"":13692,""5000"":13692,""10000"":13692,""30000"":13692,""60000"":13692,""300000"":13692,""600000"":13692,""1800000"":13692,""3600000"":13692,""+Inf"":13692}"
2026-09-22T07:52:53Z,frontend,0,0,0,0,0,0,0,"{""0.5"":0,""1"":0,""5"":0,""10"":0,""25"":0,""50"":0,""100"":0,""250"":0,""500"":0,""1000"":0,""2500"":0,""5000"":0,""10000"":0,""30000"":0,""60000"":0,""300000"":0,""600000"":0,""1800000"":0,""3600000"":0,""+Inf"":0}"
2026-09-22T07:52:53Z,paymentservice,3448,3335,0,0,119,18577,3329,"{""0.5"":0,""1"":0,""5"":2796,""10"":3194,""25"":3238,""50"":3240,""100"":3303,""250"":3329,""500"":3329,""1000"":3329,""2500"":3329,""5000"":3329,""10000"":3329,""30000"":3329,""60000"":3329,""300000"":3329,""600000"":3329,""1800000"":3329,""3600000"":3329,""+Inf"":3329}"
2026-09-22T07:52:53Z,productcatalogservice,0,0,0,0,0,0,0,"{""0.5"":0,""1"":0,""5"":0,""10"":0,""25"":0,""50"":0,""100"":0,""250"":0,""500"":0,""1000"":0,""2500"":0,""5000"":0,""10000"":0,""30000"":0,""60000"":0,""300000"":0,""600000"":0,""1800000"":0,""3600000"":0,""+Inf"":0}"
2026-09-22T07:52:53Z,recommendationservice,2107673,1622972,0,0,484739,348079508,1622972,"{""0.5"":567,""1"":567,""5"":104995,""10"":198422,""25"":372169,""50"":579207,""100"":808119,""250"":1018487,""500"":1139540,""1000"":1622972,""2500"":1622972,""5000"":1622972,""10000"":1622972,""30000"":1622972,""60000"":1622972,""300000"":1622972,""600000"":1622972,""1800000"":1622972,""3600000"":1622972,""+Inf"":1622972}"
