RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,90.0,0
3.0,0.0,3.0,100.0,0
4.5,0.0,4.5,150.0,0
9.0,0.0,9.0,310.0,0
13.5,0.0,13.5,370.0,0
16.5,0.0,16.5,560.0,0
12.5,0.0,12.5,810.0,0
13.0,0.0,13.0,930.0,0
19.0,0.0,19.0,930.0,0
18.0,0.0,18.0,1000.0,0
20.5,6.0,14.5,1100.0,0
18.0,4.5,13.5,970.0,0
20.0,0.0,20.0,1000.0,0
19.0,5.0,14.0,990.0,0
19.0,3.5,15.5,1200.0,0
20.0,11.5,8.5,1200.0,0
20.0,10.0,10.0,1200.0,0
20.0,20.0,0.0,1100.0,0
18.5,12.0,6.5,1300.0,0
17.5,11.5,6.0,1300.0,0
18.5,14.0,4.5,1200.0,0
17.0,10.5,6.5,1200.0,0
17.5,10.5,7.0,1200.0,0
17.0,11.5,5.5,1400.0,0
19.0,15.0,4.0,1400.0,0
18.5,17.5,1.0,1300.0,0
18.0,16.0,2.0,1400.0,0
17.5,13.5,4.0,1400.0,0
18.0,16.5,1.5,1300.0,0
17.5,15.5,2.0,1200.0,0
16.0,14.5,1.5,1400.0,0
16.0,16.0,0.0,1400.0,0
16.5,15.5,1.0,1400.0,0
15.5,15.5,0.0,1500.0,0
15.5,14.5,1.0,1500.0,0
15.0,14.0,1.0,1500.0,0
17.0,17.0,0.0,1600.0,0
15.5,15.5,0.0,1500.0,0
15.0,15.0,0.0,1400.0,0
17.0,17.0,0.0,1500.0,0
16.0,16.0,0.0,1400.0,0
18.0,18.0,0.0,1400.0,0
15.0,15.0,0.0,1500.0,0
16.5,15.5,1.0,1300.0,0
17.0,16.0,1.0,1400.0,0
17.5,16.0,1.5,1400.0,0
16.0,16.0,0.0,1300.0,0
14.0,14.0,0.0,1400.0,0
16.5,16.5,0.0,1500.0,0
16.0,16.0,0.0,1400.0,0
14.5,14.5,0.0,1600.0,0
16.0,16.0,0.0,1500.0,0
16.5,16.5,0.0,1400.0,0
10.0,10.0,0.0,1400.0,0
16.5,16.5,0.0,1600.0,0
15.0,15.0,0.0,1400.0,0
14.5,14.5,0.0,1400.0,0
15.5,15.5,0.0,1400.0,0
16.0,16.0,0.0,1400.0,0
14.5,14.5,0.0,1500.0,0
15.5,15.5,0.0,1500.0,0
16.0,16.0,0.0,1400.0,0
17.5,17.5,0.0,1400.0,0
16.0,16.0,0.0,1400.0,0
17.0,17.0,0.0,1500.0,0
14.5,14.5,0.0,1500.0,0
14.5,14.5,0.0,1500.0,0
16.0,16.0,0.0,1400.0,0
15.0,15.0,0.0,1500.0,0
14.0,14.0,0.0,1500.0,0
14.5,14.5,0.0,1500.0,0
15.5,15.5,0.0,1500.0,0
15.0,15.0,0.0,1500.0,0
14.5,14.5,0.0,1500.0,0
15.0,15.0,0.0,1500.0,0
18.0,18.0,0.0,1400.0,0
14.0,14.0,0.0,1500.0,0
13.0,13.0,0.0,1500.0,0
17.5,17.5,0.0,1500.0,0
15.0,15.0,0.0,1500.0,0
13.5,13.5,0.0,1400.0,0
15.5,15.5,0.0,1400.0,0
17.0,17.0,0.0,1400.0,0
16.0,16.0,0.0,1400.0,0
15.5,15.5,0.0,1400.0,0
16.5,16.5,0.0,1400.0,0
15.5,15.5,0.0,1400.0,0
15.5,15.5,0.0,1400.0,0
16.0,16.0,0.0,1500.0,0
15.5,15.5,0.0,1500.0,0
16.0,16.0,0.0,1500.0,0
15.0,15.0,0.0,1500.0,0
14.5,14.5,0.0,1400.0,0
16.0,16.0,0.0,1400.0,0
14.0,14.0,0.0,1700.0,0
15.5,15.5,0.0,1500.0,0
15.0,15.0,0.0,1600.0,0
13.5,13.5,0.0,1500.0,0
13.5,13.5,0.0,1600.0,0
14.5,14.5,0.0,1600.0,0
14.5,14.5,0.0,1600.0,0
14.5,14.5,0.0,1600.0,0
12.5,12.5,0.0,1600.0,0
14.5,14.5,0.0,1600.0,0
14.0,14.0,0.0,1500.0,0
13.5,13.5,0.0,1500.0,0
14.5,14.5,0.0,1600.0,0
15.5,15.5,0.0,1500.0,0
13.5,13.5,0.0,1500.0,0
14.0,14.0,0.0,1500.0,0
16.5,16.5,0.0,1500.0,0
15.0,15.0,0.0,1500.0,0
13.0,13.0,0.0,1600.0,0
15.5,15.5,0.0,1700.0,0
16.0,16.0,0.0,1500.0,0
14.5,14.5,0.0,1600.0,0
14.5,14.5,0.0,1500.0,0
14.5,14.5,0.0,1600.0,0
13.5,13.5,0.0,1600.0,0
15.5,15.5,0.0,1500.0,0
14.0,14.0,0.0,1600.0,0
16.0,16.0,0.0,1600.0,0
13.5,13.5,0.0,1500.0,0
14.0,14.0,0.0,1500.0,0
16.5,16.5,0.0,1500.0,0
16.0,16.0,0.0,1600.0,0
12.0,12.0,0.0,1500.0,0
16.5,16.5,0.0,1400.0,0
